game_id,username,opponent,played_at,platform,color,result,opening,eco,game_duration,termination
444da2ba-bfbc-11ef-9e6b-e5916601000f,ahmedbdk,R0RCK,2024-12-21T17:08:39+00:00,chess.com,white,win,,https://www.chess.com/openings/Kings-Pawn-Opening-Latvian-Gambit,600,
f522baa0-bfbe-11ef-9979-bfaef601000f,ahmedbdk,LazyTurtleCF,2024-12-21T17:22:47+00:00,chess.com,white,win,,https://www.chess.com/openings/Pirc-Defense-2.d4,600,
6182c2a9-bfc0-11ef-aa66-6dda8e01000f,ahmedbdk,windihv,2024-12-21T17:27:23+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Scotch-Game-3...exd4-4.Nxd4-Nxd4-5.Qxd4,600,
d8b807ce-bfc0-11ef-8dfa-1d2be601000f,ahmedbdk,Aciilbohayy,2024-12-21T17:43:20+00:00,chess.com,white,win,,https://www.chess.com/openings/Nimzowitsch-Defense-2.d4-e6-3.Nf3-d5-4.e5,600,
26254820-bfc3-11ef-8881-70f40c01000f,ahmedbdk,NNuke69,2024-12-21T17:53:28+00:00,chess.com,white,win,,https://www.chess.com/openings/Caro-Kann-Defense-Advance-Botvinnik-Carls-Defense-4.c3-Nc6-5.Nf3-Bg4,600,
c10e9c64-bfc4-11ef-87d0-3c618801000f,ahmedbdk,D7my6r,2024-12-21T18:02:29+00:00,chess.com,black,checkmated,,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation-2...Nf6,600,
c0783307-bfc5-11ef-8881-70f40c01000f,ahmedbdk,Gustiiihbbllh,2024-12-21T18:15:31+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Nimzowitsch-Defense-2.d4-e6-3.Nf3-d5-4.e5,600,
92796130-bfc7-11ef-87d0-3c618801000f,ahmedbdk,tukuna12,2024-12-21T18:19:33+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Nimzowitsch-Defense-Kennedy-Linksspringer-Variation-3...Nce7,600,
2259327b-bfc8-11ef-aa66-6dda8e01000f,ahmedbdk,Mitron64,2024-12-21T18:27:37+00:00,chess.com,black,win,,https://www.chess.com/openings/Giuoco-Piano-Game-4.O-O-Nf6-5.Nc3-d6,600,
5d5a10fa-bfc9-11ef-8893-df8f3801000f,ahmedbdk,gorrin1,2024-12-21T18:37:46+00:00,chess.com,white,win,,https://www.chess.com/openings/Pirc-Defense-Modern-Defense-Geller-System...3.Nc3-e5-4.Bc4-Be7,600,
c934e2a3-bfca-11ef-8881-70f40c01000f,ahmedbdk,anirban_khan,2024-12-21T18:51:57+00:00,chess.com,black,win,,https://www.chess.com/openings/Scotch-Game-Classical-Variation-5.Nxc6-bxc6,600,
b2b8496f-bfcc-11ef-9e6b-e5916601000f,ahmedbdk,DECEBALZERO1,2024-12-21T19:00:06+00:00,chess.com,white,checkmated,,https://www.chess.com/openings/Nimzowitsch-Defense-Scandinavian-Exchange-Variation-4.Nf3-Bg4,600,
ce5a743c-bfcd-11ef-8dfa-1d2be601000f,ahmedbdk,Felipedrg27,2024-12-21T19:15:50+00:00,chess.com,white,insufficient,,https://www.chess.com/openings/Sicilian-Defense-OKelly-Venice-System...4.d4-d5-5.e5-Nc6,600,
01be5c13-bfd0-11ef-8893-df8f3801000f,ahmedbdk,tawfjk,2024-12-21T19:25:50+00:00,chess.com,black,win,,https://www.chess.com/openings/Ruy-Lopez-Opening-Berlin-Defense-4.d3,600,
67315165-bfd1-11ef-9e6b-e5916601000f,ahmedbdk,tawfjk,2024-12-21T19:44:03+00:00,chess.com,white,win,,https://www.chess.com/openings/Nimzowitsch-Defense-2.d4-e6-3.Nf3-d5-4.e5,600,
8247bdd8-bfda-11ef-87d0-3c618801000f,ahmedbdk,padmnabhtewari,2024-12-21T20:31:54+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Four-Knights-Game,180,
9f7f993d-bfda-11ef-8dfa-1d2be601000f,ahmedbdk,RedDragonFly1959,2024-12-21T20:36:11+00:00,chess.com,black,win,,https://www.chess.com/openings/Four-Knights-Game-Scotch-Variation,180,
385740f7-bfdb-11ef-8dfa-1d2be601000f,ahmedbdk,thomas_duqi,2024-12-21T20:40:24+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Queens-Pawn-Opening-Accelerated-London-System-2...Nf6-3.e3,180,
cedb5c3b-bfdb-11ef-a3b8-d3148b01000f,ahmedbdk,OnceIMakeMyMove1,2024-12-21T20:46:39+00:00,chess.com,white,stalemate,,https://www.chess.com/openings/Alekhines-Defense-Scandinavian-Variation-3.exd5-Nxd5-4.Nxd5-Qxd5-5.Nf3,180,
af96f15f-bfdc-11ef-9979-bfaef601000f,ahmedbdk,The-MDking,2024-12-21T20:47:37+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Bishops-Opening-Berlin-Vienna-Hybrid-Variation-4...Bc5-5.Nf3,180,
d168c82f-bfdc-11ef-8dfa-1d2be601000f,ahmedbdk,franclampard1,2024-12-21T20:49:27+00:00,chess.com,black,win,,https://www.chess.com/openings/Van-t-Kruijs-Opening-1...e5,180,
1487db8b-bfdd-11ef-aa66-6dda8e01000f,ahmedbdk,franclampard1,2024-12-21T20:52:39+00:00,chess.com,white,checkmated,,https://www.chess.com/openings/French-Defense-Normal-Variation,180,
8c96912a-bfdd-11ef-9979-bfaef601000f,ahmedbdk,Yzzaque,2024-12-21T20:54:08+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Anderssen-Opening-Creepy-Crawly-Formation-Classical-Defense,180,
